国家,2019,2020,2021
中国,0.9166666,1.0,1.0
英国,0.1207483,0.07868083,0.053862877
法国,0.057282005,0.06875309,0.043645486
美国,0.83928573,0.5629323,0.39580268
俄国,0.0,0.0,0.0
