国家,2019,2020,2021
中国,0.010406812,0.0,0.04793233
英国,0.013245033,0.023178808,0.02161654
法国,0.0,0.0,0.011043233
美国,1.0,1.0,1.0
俄国,0.0037842952,0.013245033,0.0
